config,slippage,total_pnl,num_trades,win_rate_pct,loss_rate_pct,breakeven_pct,profit_factor,sharpe,max_drawdown_pct
rvol_strict,0.0,230.75305036928572,599,37.56260434056761,62.43739565943239,0.0,2.190862042592203,1.702778634240117,-14.669204246563474
rvol_strict,0.005,224.7630503692855,599,37.228714524207014,62.771285475792986,0.0,2.1379200337518935,1.663238170297142,-14.85422244889919
rvol_strict,0.01,218.7730503692859,599,36.89482470784641,63.10517529215359,0.0,2.086869911911045,1.6234244764379981,-15.039058651234924
rvol_strict,0.02,206.79305036928594,599,36.22704507512521,63.77295492487479,0.0,1.9899528873744834,1.5429757763598375,-15.428783527951795
rvol_strict,0.03,194.81305036928575,599,35.22537562604341,64.7746243739566,0.0,1.8994929249473862,1.4614298489352398,-16.359513889733194
