entry_ts,exit_ts,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae
2025-08-11 19:21:00-04:00,2025-08-11 19:32:00-04:00,atr_trail,1,5.454755642857143,5.390000000000001,5.484755642857143,5.36,-0.12475564285714302,-2.274588896583085,11.0,0.3152443571428565,-0.41475564285714306
2025-08-11 19:23:00-04:00,2025-08-11 19:32:00-04:00,atr_trail,1,5.685569928571429,5.455569928571429,5.715569928571429,5.425569928571429,-0.29000000000000004,-5.073859713452644,9.0,0.08443007142857084,-0.6455699285714287
2025-08-11 16:39:00-04:00,2025-08-11 16:43:00-04:00,atr_trail,1,10.78,10.391488928571428,10.809999999999999,10.36148892857143,-0.4485110714285696,-4.149038588608411,4.0,0.10850000000000115,-1.3699999999999992
2025-08-11 10:27:00-04:00,2025-08-11 10:37:00-04:00,atr_trail,1,11.304606714285715,11.122720714285714,11.334606714285714,11.092720714285715,-0.24188599999999916,-2.1340484597064613,10.0,0.02539328571428534,-0.4546067142857151
2025-08-11 11:28:00-04:00,2025-08-11 11:32:00-04:00,atr_trail,1,11.50466157142857,11.34739907142857,11.53466157142857,11.317399071428571,-0.21726249999999858,-1.8835619810308013,4.0,-0.014661571428570497,-0.2137615714285701
2025-08-11 13:34:00-04:00,2025-08-11 13:44:00-04:00,atr_trail,1,15.421410285714286,15.621362857142858,15.451410285714285,15.591362857142858,0.13995257142857298,0.9057592079990684,10.0,1.0585897142857146,-0.581410285714286
2025-08-11 15:59:00-04:00,2025-08-11 16:02:00-04:00,atr_trail,1,14.484573071428573,14.731984642857142,14.514573071428572,14.701984642857143,0.18741157142857112,1.2911958933017775,3.0,0.46542692857142676,-0.20457307142857317
2025-08-11 16:00:00-04:00,2025-08-11 16:04:00-04:00,atr_trail,1,14.955687357142857,14.702794142857142,14.985687357142856,14.672794142857143,-0.3128932142857135,-2.087947031248949,4.0,-0.09568735714285737,-0.6756873571428574
2025-08-11 09:38:00-04:00,2025-08-11 09:41:00-04:00,atr_trail,1,6.134930357142857,5.901866428571429,6.1649303571428575,5.871866428571429,-0.2930639285714287,-4.753726507743538,3.0,-0.035030357142857405,-0.4849303571428569
2025-08-12 10:57:00-04:00,2025-08-12 11:09:00-04:00,atr_trail,1,6.554883785714286,6.427457857142857,6.584883785714286,6.397457857142856,-0.1874259285714297,-2.846305791729309,12.0,0.2651162142857144,-0.2348837857142856
2025-08-12 12:13:00-04:00,2025-08-12 12:16:00-04:00,atr_trail,1,7.504946785714286,7.293141428571429,7.534946785714286,7.263141428571429,-0.27180535714285714,-3.6072631283631695,3.0,-0.024946785714285546,-0.3749467857142861
2025-08-12 12:20:00-04:00,2025-08-12 12:23:00-04:00,atr_trail,1,8.250343857142857,7.945002428571429,8.280343857142856,7.915002428571428,-0.36534142857142804,-4.412152863148,3.0,-0.02064385714285777,-0.6903438571428575
2025-08-12 12:42:00-04:00,2025-08-12 12:45:00-04:00,atr_trail,1,8.004569642857144,7.824594642857144,8.034569642857143,7.7945946428571435,-0.23997499999999938,-2.9867810059166167,3.0,0.04543035714285715,-0.37456964285714367
2025-08-12 12:52:00-04:00,2025-08-12 12:57:00-04:00,target_R_hit,1,8.005059285714285,9.013003785714282,8.035059285714285,8.983003785714283,0.9479444999999984,11.797604302501785,5.0,1.144940714285715,-0.19505928571428566
2025-08-12 12:55:00-04:00,2025-08-12 12:59:00-04:00,target_R_hit,1,8.456219428571428,9.55256822857143,8.486219428571427,9.52256822857143,1.0363488000000025,12.212137674767408,4.0,1.1736805714285712,-0.08621942857142884
2025-08-12 12:57:00-04:00,2025-08-12 13:01:00-04:00,atr_trail,1,9.006801428571428,9.238721071428571,9.036801428571428,9.208721071428572,0.17191964285714434,1.902439089937169,4.0,0.6931985714285709,-0.9268014285714283
2025-08-12 13:00:00-04:00,2025-08-12 13:07:00-04:00,atr_trail,1,9.638802928571428,9.138626857142857,9.668802928571427,9.108626857142857,-0.56017607142857,-5.7936445242176005,7.0,0.06119707142857145,-1.5788029285714273
2025-08-12 14:01:00-04:00,2025-08-12 14:23:00-04:00,atr_trail,1,9.1055125,9.825912142857142,9.135512499999999,9.795912142857143,0.6603996428571435,7.228928238641719,22.0,1.0943874999999998,-0.2855124999999994
2025-08-12 14:16:00-04:00,2025-08-12 14:23:00-04:00,atr_trail,1,10.007696285714285,9.825912142857142,10.037696285714285,9.795912142857143,-0.24178414285714211,-2.408761293178907,7.0,0.19220371428571426,-0.5876962857142853
2025-08-12 14:26:00-04:00,2025-08-12 14:47:00-04:00,target_R_hit,1,10.747840857142858,12.684594657142862,10.777840857142857,12.654594657142862,1.8767538000000048,17.413077673680945,21.0,1.9921591428571421,-0.2777408571428577
2025-08-12 17:03:00-04:00,2025-08-12 17:11:00-04:00,atr_trail,1,11.727328571428572,11.484781785714285,11.757328571428571,11.454781785714285,-0.30254678571428606,-2.5732612972091617,8.0,0.12267142857142765,-0.6373285714285721
2025-08-13 09:48:00-04:00,2025-08-13 09:57:00-04:00,atr_trail,1,15.7640865,15.906112857142858,15.794086499999999,15.876112857142859,0.0820263571428601,0.5193485368264916,9.0,0.6859134999999998,-0.6340864999999987
2025-08-13 09:49:00-04:00,2025-08-13 09:57:00-04:00,atr_trail,1,16.25421507142857,15.906112857142858,16.28421507142857,15.876112857142859,-0.4081022142857105,-2.5061214955441447,8.0,0.19578492857143104,-1.1242150714285675
