metric,value
num_matched,113.0
num_live_only,31.0
num_backtest_only,156.0
live_pnl_total,-28.554999999999975
backtest_pnl_total,19.139135545714137
matched_live_pnl,-21.259099999999982
matched_backtest_pnl,-13.661543662857163
pnl_diff_matched,-7.597556337142818
