config,total_pnl,num_trades,win_rate_pct,loss_rate_pct,breakeven_pct,profit_factor,sharpe,max_drawdown_pct
slow_ma_trender,50.605077205643084,3345,25.56053811659193,74.43946188340807,0.0,1.1221666003756363,0.4848651876107043,-44.06841731704364
rvol_strict,46.96184314911447,4716,25.72094995759118,74.27905004240883,0.0,1.0825447452554369,0.33062296625731874,-48.20378707375514
patient_target3,39.25804661071446,4919,23.94795690180931,76.03171376295995,0.020329335230737954,1.0652440201607525,0.268725077432154,-58.998746247240206
breakout_tight,20.387885442400194,5729,24.576714958980624,75.40582998778146,0.017455053237912375,1.031341777692635,0.1262946078322882,-63.415785449469894
retest_confirmed,8.667006530000215,5041,24.697480658599485,75.28268200753818,0.0198373338623289,1.0143606500865838,0.04849407005696087,-62.7842588472323
regular_hours_pure,-6.607440563434068,4243,24.463822766910205,75.51260900306387,0.023568230025925053,0.9869359762827655,-0.0838152165869308,-61.05791087932722
conservative,-6.628609542856953,2844,25.562587904360058,74.43741209563994,0.0,0.9816605788919692,-0.130480853808242,-43.557274377641924
tight_stop_quick_take,-6.999018629714136,5738,24.9738584872778,75.00871383757406,0.01742767514813524,0.9885543298189391,-0.06840697024272582,-65.77880594468692
wide_stop_runner,-10.91974846661688,6054,23.95110670630988,76.03237528906509,0.016518004625041296,0.9859706704632725,-0.08912034802619147,-71.92931268726703
baseline,-26.808436390885518,5724,24.301187980433262,75.68134171907757,0.017470300489168415,0.9600526007452211,-0.2214453655422305,-70.71397214346048
aggressive,-29.634359500382494,7231,23.60669340340202,76.37947725072604,0.013829345871940258,0.9635707085647921,-0.20468555965060162,-76.46913298466727
thrusty,-43.295159720857,3952,24.03846153846154,75.93623481781377,0.025303643724696356,0.908066669695926,-0.6678855299799995,-58.5952728465601
high_win_consolidation,-51.80626720499986,2984,25.50268096514745,74.49731903485255,0.0,0.8603783297691519,-0.9810250291465341,-52.44241649711581
premarket_focus,-52.995824015296975,6041,24.068862771064392,75.91458367819898,0.01655355073663301,0.9252705277626394,-0.4474085394336796,-75.09185952050562
fast_ma_scalper,-100.84195910426816,7455,22.79007377598927,77.19651240778002,0.01341381623071764,0.8785474028193132,-0.7025637529941167,-87.25818522838888
