entry_ts,exit_ts,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae
2025-08-11 19:21:00-04:00,2025-08-11 19:32:00-04:00,atr_trail,1,5.456340857142857,5.38,5.486340857142857,5.35,-0.1363408571428577,-2.4850963637330525,11.0,0.31365914285714247,-0.41634085714285707
2025-08-11 16:39:00-04:00,2025-08-11 16:45:00-04:00,atr_trail,1,10.78,10.374597142857143,10.809999999999999,10.344597142857143,-0.46540285714285545,-4.305299326020862,6.0,0.10850000000000115,-1.3699999999999992
2025-08-11 10:27:00-04:00,2025-08-11 10:39:00-04:00,atr_trail,1,11.306142285714287,11.113708571428571,11.336142285714287,11.083708571428572,-0.2524337142857149,-2.2268043918593827,12.0,0.023857714285712817,-0.4561422857142876
2025-08-11 13:34:00-04:00,2025-08-11 13:44:00-04:00,atr_trail,1,15.425213714285714,15.593774285714286,15.455213714285714,15.563774285714286,0.10856057142857267,0.7024203834090414,10.0,1.054786285714286,-0.5852137142857146
2025-08-11 16:00:00-04:00,2025-08-11 16:04:00-04:00,atr_trail,1,14.957583142857143,14.693694571428571,14.987583142857142,14.663694571428572,-0.3238885714285704,-2.1610460361844996,4.0,-0.0975831428571432,-0.6775831428571433
2025-08-11 09:38:00-04:00,2025-08-11 09:41:00-04:00,atr_trail,1,6.136607142857143,5.893409999999999,6.166607142857143,5.863409999999999,-0.30319714285714383,-4.916757883763367,3.0,-0.03670714285714283,-0.48660714285714235
2025-08-12 10:57:00-04:00,2025-08-12 11:10:00-04:00,atr_trail,1,6.556511714285714,6.437068571428571,6.586511714285714,6.407068571428571,-0.17944314285714302,-2.724403305439249,13.0,0.2634882857142866,-0.2461117142857141
2025-08-12 12:13:00-04:00,2025-08-12 12:16:00-04:00,atr_trail,1,7.506595714285714,7.285581428571429,7.536595714285714,7.255581428571428,-0.2810142857142859,-3.7286633961487348,3.0,-0.026595714285713612,-0.37659571428571414
2025-08-12 12:20:00-04:00,2025-08-12 12:23:00-04:00,atr_trail,1,8.252625142857141,7.934007999999999,8.28262514285714,7.904007999999998,-0.3786171428571423,-4.571221518864199,3.0,-0.022925142857141978,-0.6926251428571417
2025-08-12 12:42:00-04:00,2025-08-12 12:45:00-04:00,atr_trail,1,8.006092857142857,7.818292857142857,8.036092857142856,7.7882928571428565,-0.2477999999999998,-3.0835880620735168,3.0,0.04390714285714381,-0.376092857142857
2025-08-12 12:52:00-04:00,2025-08-12 12:57:00-04:00,target_R_hit,1,8.006745714285714,9.003794285714283,8.036745714285713,8.973794285714284,0.937048571428571,11.659552320573251,5.0,1.1432542857142867,-0.19674571428571408
2025-08-12 12:55:00-04:00,2025-08-12 12:59:00-04:00,target_R_hit,1,8.45829257142857,9.548043428571427,8.48829257142857,9.518043428571428,1.029750857142858,12.131425118509465,4.0,1.1716074285714289,-0.08829257142857116
2025-08-12 12:57:00-04:00,2025-08-12 13:01:00-04:00,atr_trail,1,9.009068571428571,9.223882857142858,9.03906857142857,9.193882857142858,0.1548142857142878,1.7127238773653852,4.0,0.6909314285714281,-0.9290685714285711
2025-08-12 13:00:00-04:00,2025-08-12 13:07:00-04:00,atr_trail,1,9.641770571428571,9.119847714285713,9.67177057142857,9.089847714285714,-0.5819228571428567,-6.016714859447947,7.0,0.05822942857142799,-1.5817705714285708
2025-08-12 14:01:00-04:00,2025-08-12 14:19:00-04:00,target_R_hit,1,9.10735,10.192799999999998,9.13735,10.162799999999999,1.0254499999999993,11.222619249563603,18.0,1.0925499999999992,-0.28735
2025-08-12 14:26:00-04:00,2025-08-12 14:39:00-04:00,target_R_hit,1,10.751021142857143,12.665514857142858,10.781021142857142,12.635514857142859,1.8544937142857165,17.201466259199314,13.0,1.928978857142857,-0.2809211428571423
2025-08-13 10:14:00-04:00,2025-08-13 10:25:00-04:00,atr_trail,1,17.016759142857143,16.545942857142855,17.046759142857145,16.515942857142853,-0.5308162857142911,-3.1138838841206495,11.0,0.44324085714285744,-0.8167591428571441
2025-08-13 10:34:00-04:00,2025-08-13 10:38:00-04:00,atr_trail,1,5.299899714285714,5.140822857142857,5.329899714285714,5.110822857142857,-0.2190768571428574,-4.110337321275792,4.0,0.3001002857142856,-0.4296997142857144
2025-08-13 11:01:00-04:00,2025-08-13 11:06:00-04:00,atr_trail,1,5.438376857142857,5.385648571428572,5.468376857142857,5.3556485714285715,-0.11272828571428573,-2.0614578815474016,5.0,0.37152314285714283,-0.17827685714285657
2025-08-13 11:18:00-04:00,2025-08-13 11:26:00-04:00,target_R_hit,1,5.898731714285714,6.989122285714285,5.928731714285714,6.959122285714285,1.0303905714285708,17.37961205000673,8.0,1.5611682857142863,-0.21873171428571414
2025-08-13 11:21:00-04:00,2025-08-13 11:28:00-04:00,target_R_hit,1,6.460046285714286,8.272221714285715,6.490046285714286,8.242221714285716,1.7521754285714293,26.99788801858425,7.0,2.0199537142857142,-0.35004628571428587
2025-08-13 11:23:00-04:00,2025-08-13 11:29:00-04:00,target_R_hit,1,6.951145714285714,8.659494285714285,6.981145714285714,8.629494285714285,1.6483485714285715,23.611433407778758,6.0,1.9088542857142858,-0.5404457142857133
2025-08-13 11:27:00-04:00,2025-08-13 11:34:00-04:00,atr_trail,1,7.473520571428572,7.877497142857144,7.503520571428572,7.847497142857144,0.34397657142857163,4.584202417440464,7.0,1.3864794285714277,-0.3035205714285718
