entry_ts,exit_ts,symbol,side,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae,entry_limit
2025-10-13 16:39:00-04:00,2025-10-13 16:41:00-04:00,ATON,long,atr_trail,1,8.003914285714286,7.825200000000001,8.013914285714286,7.815200000000001,-0.19871428571428496,-2.479615811071445,2.0,-0.003914285714285981,-0.40391428571428634,
2025-10-13 10:38:00-04:00,2025-10-13 10:39:00-04:00,BLBX,long,vwap_break,1,9.253490571428571,9.28,9.263490571428571,9.27,0.006509428571428444,0.07026971659587211,1.0,0.04650942857142937,-0.10849057142857177,
2025-10-13 10:42:00-04:00,2025-10-13 10:43:00-04:00,BLBX,long,vwap_break,1,9.473810142857143,9.33,9.483810142857143,9.32,-0.1638101428571428,-1.7272608834384862,1.0,-0.05381014285714336,-0.19381014285714393,
2025-10-13 13:04:00-04:00,2025-10-13 13:06:00-04:00,BLBX,long,atr_trail,1,10.553277857142858,10.380818571428572,10.563277857142857,10.370818571428572,-0.1924592857142855,-1.8219655708871185,2.0,-0.06117785714285695,-0.5437778571428584,
2025-10-13 13:31:00-04:00,2025-10-13 13:36:00-04:00,BLBX,long,atr_trail,1,11.223250142857143,11.463725,11.233250142857143,11.453725,0.22047485714285742,1.962698723334766,5.0,0.4767498571428561,-0.4132501428571427,
2025-10-13 13:36:00-04:00,2025-10-13 13:40:00-04:00,BLBX,long,atr_trail,1,11.66,11.430660714285715,11.67,11.420660714285715,-0.2493392857142851,-2.1365834251438343,4.0,0.03999999999999915,-0.5600000000000005,
2025-10-13 14:20:00-04:00,2025-10-13 14:23:00-04:00,BLBX,long,atr_trail,1,11.723689571428572,11.666466428571427,11.733689571428572,11.656466428571427,-0.07722314285714482,-0.6581318040421169,3.0,0.08831042857142712,-0.24368957142857184,
2025-10-13 07:34:00-04:00,2025-10-13 07:39:00-04:00,CHNR,long,atr_trail,1,10.829371428571429,9.904300000000001,10.839371428571429,9.894300000000001,-0.9450714285714277,-8.718876687630795,5.0,0.6706285714285709,-2.0693714285714293,
2025-10-13 11:14:00-04:00,2025-10-13 11:15:00-04:00,CHNR,long,vwap_break,1,7.863888714285714,7.26,7.873888714285714,7.25,-0.6238887142857141,-7.923514503751916,1.0,-0.12388871428571413,-0.643388714285714,
2025-10-13 11:43:00-04:00,2025-10-13 11:45:00-04:00,CHNR,long,atr_trail,1,7.893365428571428,7.914484285714285,7.903365428571428,7.904484285714285,0.0011188571428570881,0.014156717830760002,2.0,0.306634571428571,-0.6933654285714281,
2025-10-13 16:04:00-04:00,2025-10-13 16:08:00-04:00,ELAB,long,target_R_hit,1,7.433788428571428,9.093694485714284,7.443788428571428,9.083694485714284,1.6399060571428565,22.03053019143344,4.0,1.7962115714285725,-0.3337884285714283,
2025-10-13 16:06:00-04:00,2025-10-13 16:11:00-04:00,ELAB,long,atr_trail,1,8.2,8.523097142857143,8.209999999999999,8.513097142857143,0.30309714285714406,3.6918044196972533,5.0,1.0300000000000011,-0.5099999999999989,
2025-10-13 16:09:00-04:00,2025-10-13 16:11:00-04:00,ELAB,long,atr_trail,1,9.239042285714286,8.726068,9.249042285714285,8.716068,-0.5329742857142854,-5.762480798011882,2.0,-0.059042285714285825,-0.8590422857142848,
2025-10-13 17:19:00-04:00,2025-10-13 17:21:00-04:00,ELAB,long,vwap_break,1,8.303578571428572,8.0,8.313578571428572,7.99,-0.3235785714285715,-3.892169523009259,2.0,0.4364214285714283,-0.3035785714285719,
2025-10-13 17:20:00-04:00,2025-10-13 17:21:00-04:00,ELAB,long,vwap_break,1,8.744278571428572,8.0,8.754278571428571,7.99,-0.7642785714285711,-8.730343285201759,1.0,-0.17427857142857128,-0.7442785714285716,
2025-10-13 08:43:00-04:00,2025-10-13 08:45:00-04:00,ELBM,long,atr_trail,1,3.853227857142857,3.682902857142857,3.863227857142857,3.6729028571428572,-0.19032499999999963,-4.926579716184776,2.0,0.05677214285714305,-0.30322785714285727,
2025-10-13 09:35:00-04:00,2025-10-13 09:44:00-04:00,ELBM,long,atr_trail,1,4.483007285714286,5.080445714285714,4.4930072857142855,5.0704457142857144,0.5774384285714289,12.8519361721807,9.0,0.8369927142857145,-0.3330072857142854,
2025-10-13 09:38:00-04:00,2025-10-13 09:44:00-04:00,ELBM,long,atr_trail,1,4.964509428571429,5.080445714285714,4.974509428571428,5.0704457142857144,0.09593628571428603,1.9285577219588568,6.0,0.35549057142857166,-0.19450942857142905,
2025-10-13 09:39:00-04:00,2025-10-13 09:45:00-04:00,ELBM,long,atr_trail,1,5.2050091428571434,4.9988028571428575,5.215009142857143,4.988802857142858,-0.22620628571428547,-4.337600942159692,6.0,0.11499085714285684,-1.2050091428571434,
2025-10-13 10:08:00-04:00,2025-10-13 10:11:00-04:00,ELBM,long,atr_trail,1,4.703658571428572,5.2711435714285715,4.713658571428572,5.261143571428572,0.547485,11.61486331060404,3.0,0.926341428571428,-0.12365857142857184,
2025-10-13 10:10:00-04:00,2025-10-13 10:11:00-04:00,ELBM,long,atr_trail,1,4.9736585714285715,5.2711435714285715,4.983658571428571,5.261143571428572,0.2774850000000004,5.567897479791828,1.0,0.6563414285714284,-0.11365857142857116,
2025-10-13 10:11:00-04:00,2025-10-13 10:13:00-04:00,ELBM,long,atr_trail,1,5.634530142857143,5.393381571428572,5.644530142857143,5.383381571428572,-0.2611485714285706,-4.626577674654476,2.0,-0.09453014285714278,-0.6845301428571426,
2025-10-13 10:40:00-04:00,2025-10-13 10:43:00-04:00,ELBM,long,atr_trail,1,5.324077714285715,5.160811285714287,5.334077714285715,5.150811285714287,-0.18326642857142783,-3.435766000945284,3.0,-0.03407771428571493,-0.26407771428571536,
2025-10-13 11:04:00-04:00,2025-10-13 11:11:00-04:00,ELBM,long,atr_trail,1,5.944571142857143,5.739034999999999,5.954571142857143,5.729035,-0.22553614285714296,-3.7876135400227273,7.0,0.21532885714285754,-0.3445711428571432,
2025-10-13 12:43:00-04:00,2025-10-13 12:45:00-04:00,ELBM,long,atr_trail,1,6.473291428571429,6.267017857142857,6.4832914285714285,6.257017857142857,-0.22627357142857107,-3.4901033513841218,2.0,0.07670857142857113,-0.9432914285714284,
