entry_ts,exit_ts,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae
2025-07-18 01:00:00-04:00,2025-07-29 01:00:00-04:00,atr_trail,1,70.87,71.85668642857142,70.9,71.82668642857142,0.9266864285714149,1.3070330445295042,15840.0,6.439999999999998,-1.8500000000000085
2025-01-24 01:00:00-05:00,2025-02-28 01:00:00-05:00,time_stop,1,123.30398942857143,138.01,123.33398942857143,137.98,14.646010571428562,11.875080534803239,50400.0,15.066010571428578,-1.12398942857142
2025-06-25 01:00:00-04:00,2025-06-30 01:00:00-04:00,atr_trail,1,139.13184614285714,136.37049257142857,139.16184614285714,136.34049257142857,-2.821353571428574,-2.0273901573081288,7200.0,-0.29184614285713906,-6.4218461428571345
2025-10-01 01:00:00-04:00,2025-10-03 01:00:00-04:00,atr_trail,1,233.64,239.31371428571427,233.67,239.28371428571427,5.6137142857142805,2.4024112148389953,2880.0,11.170000000000016,-1.6399999999999864
2025-10-02 01:00:00-04:00,2025-10-07 01:00:00-04:00,atr_trail,1,244.94817142857144,239.04356,244.97817142857144,239.01356,-5.9646114285714305,-2.4347522041613945,7200.0,-2.2781714285714543,-17.35817142857144
2025-06-17 01:00:00-04:00,2025-07-08 01:00:00-04:00,atr_trail,1,128.27458199999998,138.10294857142858,128.30458199999998,138.07294857142858,9.7683665714286,7.613419894410778,30240.0,19.475818000000032,-2.504581999999985
2025-10-07 01:00:00-04:00,2025-10-09 01:00:00-04:00,eod,1,226.998884,232.89,227.028884,232.85999999999999,5.83111599999998,2.5684467532333777,2880.0,13.10111599999999,-17.718884000000003
2025-10-09 01:00:00-04:00,2025-10-09 01:00:00-04:00,eod,1,236.3,232.89,236.33,232.85999999999999,-3.4700000000000273,-1.4682858714509472,0.0,3.799999999999983,-6.77000000000001
2025-08-29 01:00:00-04:00,2025-09-25 01:00:00-04:00,atr_trail,1,125.50380064285714,126.00480071428571,125.53380064285714,125.9748007142857,0.44100007142856157,0.3512998643952603,38880.0,5.4961993571428565,-4.723800642857142
2025-09-05 01:00:00-04:00,2025-09-25 01:00:00-04:00,atr_trail,1,128.91938992857143,126.17419064285714,128.94938992857143,126.14419064285714,-2.805199285714295,-2.175426566398009,28800.0,2.0806100714285662,-8.139389928571433
2025-10-02 01:00:00-04:00,2025-10-09 01:00:00-04:00,eod,1,139.07800892857142,140.11,139.10800892857142,140.08,0.9719910714285902,0.6987312081561559,10080.0,4.011991071428582,-2.1780089285714155
2025-07-25 01:00:00-04:00,2025-08-29 01:00:00-04:00,time_stop,1,164.17139792857142,169.8,164.20139792857142,169.77,5.568602071428586,3.3913243989865283,50400.0,8.778602071428566,-2.453397928571434
2025-02-24 01:00:00-05:00,2025-03-05 01:00:00-05:00,atr_trail,1,63.33041764285714,64.84892,63.36041764285714,64.81892,1.4585023571428621,2.3019140520253334,12960.0,3.209582357142864,-0.730417642857141
2024-12-12 01:00:00-05:00,2024-12-19 01:00:00-05:00,atr_trail,1,195.75217471428573,191.75492714285713,195.78217471428573,191.72492714285713,-4.057247571428604,-2.0723273593980296,10080.0,5.667825285714258,-8.01217471428572
2024-12-12 01:00:00-05:00,2024-12-19 01:00:00-05:00,atr_trail,1,197.02950835714284,193.33305071428572,197.05950835714285,193.30305071428572,-3.7564576428571286,-1.9062554627148787,10080.0,5.8504916428571505,-7.749508357142844
2025-03-04 01:00:00-05:00,2025-03-24 01:00:00-04:00,atr_trail,1,57.82,57.851301371428576,57.85,57.821301371428575,-0.028698628571426354,-0.04960869243115784,28740.0,1.8500000000000014,-2.293599999999998
2025-07-31 01:00:00-04:00,2025-08-27 01:00:00-04:00,atr_trail,1,62.24347121428571,66.6711742857143,62.27347121428571,66.6411742857143,4.367703071428586,7.013745959975681,38880.0,6.356528785714282,-1.3334712142857157
2025-07-31 01:00:00-04:00,2025-08-11 01:00:00-04:00,atr_trail,1,114.28541342857143,112.919515,114.31541342857143,112.889515,-1.4258984285714291,-1.247336982656655,15840.0,1.0745865714285685,-2.640413428571435
2025-02-26 01:00:00-05:00,2025-03-26 01:00:00-04:00,atr_trail,1,206.402699,210.9515714285714,206.432699,210.9215714285714,4.488872428571398,2.174496797414549,40260.0,13.207301000000001,-7.077699000000024
2025-02-24 01:00:00-05:00,2025-03-12 01:00:00-04:00,atr_trail,1,133.90237142857143,144.4047857142857,133.93237142857143,144.3747857142857,10.442414285714278,7.796781445987766,22980.0,18.167628571428565,-3.327371428571439
2025-03-10 01:00:00-04:00,2025-03-13 01:00:00-04:00,atr_trail,1,146.18,144.28810714285714,146.21,144.25810714285714,-1.951892857142866,-1.3349927208418433,4320.0,5.889999999999986,-7.260000000000019
2025-02-06 01:00:00-05:00,2025-02-11 01:00:00-05:00,atr_trail,1,309.49,302.12109214285715,309.52,302.0910921428572,-7.4289078571428036,-2.400138232470539,7200.0,0.0,-21.129999999999995
2025-09-10 01:00:00-04:00,2025-10-09 01:00:00-04:00,eod,1,118.0,126.25,118.03,126.22,8.189999999999998,6.9389138354655655,41760.0,8.489999999999995,-1.355000000000004
2024-12-23 01:00:00-05:00,2024-12-31 01:00:00-05:00,atr_trail,1,255.12691114285715,254.48601999999997,255.15691114285715,254.45601999999997,-0.7008911428571878,-0.2746902444138666,11520.0,4.973088857142869,-5.696911142857147
2025-08-11 01:00:00-04:00,2025-08-21 01:00:00-04:00,atr_trail,1,231.16255692857143,227.17396000000002,231.19255692857143,227.14396000000002,-4.048596928571413,-1.751179615104237,14400.0,3.957443071428571,-7.3821569285714475
