config,total_pnl,num_trades,win_rate_pct,loss_rate_pct,breakeven_pct,profit_factor,sharpe,max_drawdown_pct
aggressive,223.59205344142867,844,35.18957345971564,64.81042654028435,0.0,1.7712805354512051,1.5081890298110017,-21.58612755373708
breakout_tight,205.2424479485714,692,35.40462427745665,64.59537572254335,0.0,1.851463437878988,1.4451736086347697,-16.96300288954938
tight_stop_quick_take,195.44178018742852,687,35.662299854439595,64.3377001455604,0.0,1.910019752265497,1.5260476927911921,-17.292174695340883
rvol_strict,194.81305036928575,599,35.22537562604341,64.7746243739566,0.0,1.8994929249473862,1.4614298489352398,-16.359513889733194
fast_ma_scalper,193.80408938871432,885,34.12429378531073,65.87570621468926,0.0,1.6674513695337845,1.3835375570100337,-22.437999542629193
patient_target3,183.4977920807143,598,34.448160535117054,65.55183946488295,0.0,1.8149143500443865,1.3917463628481905,-25.295945472331766
wide_stop_runner,180.20353038171433,717,33.333333333333336,66.66666666666667,0.0,1.5925243194161598,1.2912146989567128,-30.192919654879212
retest_confirmed,178.41982545285717,629,35.13513513513514,64.86486486486487,0.0,1.7805040115653497,1.3148497568430018,-21.827363956245733
baseline,166.53412787142855,677,34.26883308714919,65.73116691285081,0.0,1.6722622405628706,1.3071670273816225,-20.79414629440518
premarket_focus,160.931419426,717,34.17015341701534,65.82984658298466,0.0,1.6144617055987904,1.3608940512119092,-22.622958249217938
slow_ma_trender,142.58205525121434,440,35.90909090909091,64.0909090909091,0.0,1.8565452957818551,1.4545408789198786,-21.995309926612205
regular_hours_pure,138.72355769457147,531,35.59322033898305,64.40677966101696,0.0,1.714186893901503,1.3820382331744374,-22.844931794536933
conservative,81.79032451714289,371,36.118598382749326,63.881401617250674,0.0,1.5431502913149884,1.2644428889716546,-21.149331571602463
thrusty,76.70807733842855,455,32.967032967032964,67.03296703296704,0.0,1.4570207295986033,1.1964432663653912,-23.820872386432796
high_win_consolidation,57.17609198028572,391,35.0383631713555,64.9616368286445,0.0,1.3834366694793323,1.0690512495644942,-26.753820091031237
