config,total_pnl,num_trades,win_rate_pct,loss_rate_pct,breakeven_pct,profit_factor,sharpe,max_drawdown_pct
fast_ma_scalper,122.16028883499996,73,47.945205479452056,52.054794520547944,0.0,2.1167204254958185,1.749595030932626,-2.54284067098086
aggressive,95.60018110285716,72,50.0,50.0,0.0,1.8379398777816118,1.4666515050601048,-1.5373887897969531
retest_confirmed,75.20959794285707,43,48.83720930232558,51.16279069767442,0.0,2.2272643216782027,1.3175458339014559,-1.915828957471849
conservative,66.90702417142856,22,54.54545454545455,45.45454545454545,0.0,3.561741454484101,1.389494905431182,-0.6778581207656192
regular_hours_pure,60.5520963428572,42,47.61904761904762,52.38095238095238,0.0,1.934013742714139,1.062184301453604,-2.091862023143019
patient_target3,57.58795162857142,35,57.142857142857146,42.857142857142854,0.0,2.3176626950286545,1.1855188042058555,-0.8256069857142849
breakout_tight,49.67333114285732,52,48.07692307692308,51.92307692307692,0.0,1.5649097376806391,0.8754351025740511,-2.22573901381111
high_win_consolidation,46.19237407142854,20,55.0,45.0,0.0,3.1307346828733187,1.2405804565287368,-0.9432980852424879
baseline,45.458099014285665,50,48.0,52.0,0.0,1.530767246912156,0.7457007314060585,-2.2710411592706703
premarket_focus,43.9362407142857,55,49.09090909090909,50.90909090909091,0.0,1.4964439227003732,0.7132496739550621,-2.549669826572601
slow_ma_trender,43.81048945714296,35,42.857142857142854,57.142857142857146,0.0,1.7011189031270937,0.6731436329734264,-1.8336811894762681
wide_stop_runner,41.172587500000105,56,44.642857142857146,55.357142857142854,0.0,1.3420248156679364,0.5407769236623059,-3.724254995382068
thrusty,38.24361979999992,21,57.142857142857146,42.857142857142854,0.0,2.455161401552608,0.9329309133202317,-0.5964611428571427
rvol_strict,34.08066822857138,42,45.23809523809524,54.76190476190476,0.0,1.4496926616481922,0.43146621172267396,-3.481369684471215
tight_stop_quick_take,30.513611628571404,52,44.23076923076923,55.76923076923077,0.0,1.4127636429968113,0.43972232549845897,-1.4754254189470961
