config,total_pnl,num_trades,win_rate_pct,loss_rate_pct,breakeven_pct,profit_factor,sharpe,max_drawdown_pct
fast_ma_scalper,126.54028883499987,73,47.945205479452056,52.054794520547944,0.0,2.1813828545798875,2.312503154232428,-23.656201692060318
aggressive,99.9201811028571,72,50.0,50.0,0.0,1.892706025756977,1.8897472675549152,-18.685192788301965
retest_confirmed,77.78959794285711,43,51.16279069767442,48.83720930232558,0.0,2.296631266788838,1.7488478833948347,-11.369733373300475
conservative,68.22702417142861,22,54.54545454545455,45.45454545454545,0.0,3.673704321326159,1.8321330305745849,-6.441394285714305
regular_hours_pure,63.07209634285722,42,47.61904761904762,52.38095238095238,0.0,1.9931052096311273,1.448642881370646,-11.816229778339453
patient_target3,59.68795162857149,35,57.142857142857146,42.857142857142854,0.0,2.394427683893984,1.6702832223543884,-11.816229778339453
breakout_tight,52.79333114285721,52,48.07692307692308,51.92307692307692,0.0,1.611660821983166,1.075926958267118,-21.425731134365662
high_win_consolidation,47.392374071428584,20,55.0,45.0,0.0,3.241931404470143,1.91453212854111,-6.832338928571435
premarket_focus,47.2362407142857,55,50.90909090909091,49.09090909090909,0.0,1.5438628475589653,1.0098115608863385,-27.373602806085113
slow_ma_trender,45.91048945714297,35,42.857142857142854,57.142857142857146,0.0,1.7491121985729912,1.0558536531108953,-13.553831026837212
baseline,45.458099014285665,50,48.0,52.0,0.0,1.530767246912156,0.9688537740341812,-22.600771710035318
wide_stop_runner,44.53258750000012,56,46.42857142857143,53.57142857142857,0.0,1.375736407756055,0.703021976747677,-31.82131553758567
thrusty,39.50361979999997,21,61.904761904761905,38.095238095238095,0.0,2.532772270913395,1.580918507638593,-7.693705214285726
rvol_strict,36.600668228571294,42,47.61904761904762,52.38095238095238,0.0,1.4916941248688471,0.8178740170377108,-33.38517474496066
tight_stop_quick_take,33.6336116285714,52,44.23076923076923,55.76923076923077,0.0,1.4659353697721484,0.806201019614793,-25.13244410864842
