symbol,close,sma50,sma200,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,atr14,atr_%,score,entry,stop,risk_%,qty,notional,risk_$
PSKY,18.79,13.67,11.94,223393528.0,2.31,0.42,0.2527,0.3067,0.5698,1.016,5.41,0.983,18.89,16.9,10.53,251,4741.0,499.0
MU,157.23,120.0,101.67,2572496289.0,1.63,0.66,0.1968,0.2549,0.3065,5.549,3.53,0.934,158.44,148.91,6.02,52,8239.0,496.0
WBD,18.87,12.39,10.63,1034557272.0,3.92,2.38,0.5582,0.6019,0.7836,0.914,4.84,0.905,19.35,17.22,11.0,234,4528.0,498.0
GLW,77.04,62.47,51.74,570808825.0,1.84,1.07,0.0822,0.1715,0.5261,1.88,2.44,0.845,77.95,74.22,4.78,134,10445.0,499.0
CMI,410.27,376.83,346.76,281427046.0,1.33,0.85,0.0261,0.0135,0.3033,7.321,1.78,0.715,414.18,399.29,3.6,30,12426.0,447.0
ALLE,175.02,163.09,141.31,128055105.0,1.47,1.54,0.0184,0.0384,0.2846,2.984,1.7,0.71,177.88,170.54,4.12,68,12096.0,499.0
STE,249.88,237.26,227.49,123628216.0,1.55,1.23,0.0187,0.0152,0.054,4.282,1.71,0.701,253.25,243.46,3.87,49,12409.0,480.0
XEL,73.35,71.83,69.56,330719211.0,1.55,1.64,0.0092,0.0133,0.1173,1.048,1.43,0.684,73.79,71.78,2.73,169,12471.0,341.0
