ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%
DG,Buy,1-2 day,Momentum + liquidity screen near highs,135.82,126.7,2,272.0,18.0,6.71,0.966,134.51,1.31,0.86,0.304,107.55,102.84,568295506.0,0.0715,0.3205,5.208,3.87
WBD,Buy,1-2 day,Momentum + liquidity screen near highs,29.54,27.54,12,354.0,24.0,6.77,0.828,28.9,1.33,3.67,0.2709,22.66,14.37,1693131257.0,0.0226,0.4737,0.907,3.14
TKO,Buy,1-2 day,Momentum + liquidity screen near highs,213.44,201.72,2,427.0,23.0,5.49,0.812,210.65,1.38,1.21,0.1402,190.06,174.56,234825946.0,0.0687,0.055,5.952,2.83
MTB,Buy,1-2 day,Momentum + liquidity screen near highs,206.14,198.99,3,618.0,21.0,3.47,0.787,204.09,1.37,1.54,0.1272,187.97,186.07,171953287.0,0.0325,0.0261,3.4,1.67
RL,Buy,1-2 day,Momentum + liquidity screen near highs,376.99,354.65,1,377.0,22.0,5.93,0.771,369.31,1.42,2.23,0.1395,338.25,285.78,257212688.0,0.0388,0.2004,9.775,2.65
CB,Buy,1-2 day,Momentum + liquidity screen near highs,313.77,303.79,1,314.0,10.0,3.18,0.752,311.04,1.32,0.77,0.0523,289.09,284.44,562534641.0,0.0326,0.1393,4.834,1.55
EL,Buy,1-2 day,Momentum + liquidity screen near highs,104.88,99.53,4,420.0,21.0,5.1,0.733,104.39,1.39,4.77,0.2126,95.78,80.95,344520050.0,0.017,0.1962,3.239,3.1
K,Buy,1-2 day,Momentum + liquidity screen near highs,83.56,83.19,7,585.0,3.0,0.45,0.729,83.44,9.0,0.25,0.0014,83.14,81.46,400438398.0,0.0036,0.0506,0.167,0.2
