ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%
HII,Buy,1-2 day,Momentum + liquidity screen near highs,360.56,338.25,1,361.0,22.0,6.19,0.8,354.52,1.36,1.58,0.1439,311.07,260.31,154936591.0,0.0848,0.2683,10.844,3.06
NTRS,Buy,1-2 day,Momentum + liquidity screen near highs,141.39,136.42,4,566.0,20.0,3.51,0.785,140.19,1.42,0.75,0.0889,130.68,118.84,142043558.0,0.0139,0.047,2.512,1.79
K,Buy,1-2 day,Momentum + liquidity screen near highs,83.56,83.19,7,585.0,3.0,0.45,0.729,83.44,9.0,0.25,0.0014,83.14,81.46,400438398.0,0.0036,0.0506,0.167,0.2
DD,Buy,1-2 day,Momentum + liquidity screen near highs,41.51,39.88,15,623.0,25.0,3.94,0.719,41.04,1.32,1.94,0.0668,38.02,32.0,209169737.0,0.0146,0.2737,0.776,1.89
JHG,Buy,1-2 day,Momentum + liquidity screen near highs,47.64,46.22,13,619.0,18.0,2.97,0.681,47.59,2.22,3.7,0.1049,43.87,40.51,82366318.0,0.0573,0.0616,0.91,1.91
