symbol,close,sma50,sma200,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,atr14,atr_%,score,entry,stop,risk_%,qty,notional,risk_$
GOOGL,254.72,208.71,183.14,9530404263.0,1.35,0.5,0.0578,0.2752,0.4924,6.538,2.57,0.958,256.26,244.91,4.43,44,11275.0,499.0
GOOG,255.24,209.43,184.52,6166744939.0,1.57,0.57,0.0574,0.2723,0.4884,6.506,2.55,0.953,256.96,245.48,4.47,43,11049.0,493.0
WBD,19.33,13.13,10.85,1366896604.0,1.93,1.35,0.0244,0.6685,0.7783,1.254,6.49,0.946,19.51,17.45,10.56,242,4721.0,499.0
LRCX,126.92,103.39,85.44,1239274402.0,2.17,1.38,0.0852,0.2897,0.3218,3.603,2.84,0.936,127.93,121.52,5.01,77,9850.0,494.0
NEM,81.72,69.17,53.25,878541307.0,3.73,0.4,0.0312,0.1659,0.4075,2.084,2.55,0.867,82.13,78.49,4.43,137,11252.0,499.0
APH,123.94,109.46,84.23,1065126197.0,1.72,0.36,0.0443,0.139,0.2775,3.024,2.44,0.845,124.51,119.4,4.1,97,12077.0,495.0
WYNN,129.52,114.79,93.96,254428508.0,1.61,1.01,0.0664,0.168,0.4092,3.328,2.57,0.844,130.97,124.53,4.92,77,10085.0,496.0
TPR,114.19,105.42,82.44,427810669.0,1.39,1.01,0.0725,0.1606,0.3368,3.088,2.7,0.838,115.47,109.56,5.12,84,9699.0,496.0
