ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,r120,r252,volatility60
EA,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,203.79,275.11650000000003,163.032,High,0.9276695142618542,203.79,204.2,203.75,201.74580000000003,168.629875,0.6992785714285706,438968585.72749996,0.5530827462688337,0.41536356528537643,-0.0020078354554358135,0.015446708854452096,0.053995345228859515,0.29777749474622683,0.3593249733191035,0.09664168987859303
JNJ,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,207.32,279.882,165.856,High,0.9264200899168318,207.32,208.08,205.5,198.0832,172.63025000000002,3.948578571428572,1960025218.6935,0.8632076142798443,3.654994539582224,-0.031983937993183,0.016772927905836177,0.15363641422291452,0.33273335047570063,0.4322625215889464,0.1580826809995238
C,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,118.09,159.4215,94.47200000000001,High,0.9157142320754216,118.09,118.65,114.87,103.131,88.0826,2.4904285714285725,1550360341.6825,1.4264827564403704,0.4719764011799429,0.046897163120567464,0.19645390070921986,0.1418487719976793,0.36111111111111116,0.7335584263065178,0.24476627975350784
BK,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,117.26,158.30100000000002,93.808,High,0.909175667895215,117.26,117.59,116.0401,110.5508,97.50040000000001,2.056421428571428,429886736.732,1.018418382594922,1.7922948073701845,0.00256497948016432,0.10175702339565906,0.07057427188898013,0.27331957867303736,0.546557636507518,0.18457561105880332
FOXA,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,73.62,99.38700000000001,58.89600000000001,High,0.9078294896849987,73.62,74.63,72.34,65.07979999999999,57.8429,1.5460714285714283,270359224.29899997,1.3162660663007153,1.3533431595872851,0.03355327811315467,0.12071852641193503,0.20392477514309082,0.3353890803555233,0.4893789196844023,0.2533113624949362
GE,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,314.73,424.88550000000004,251.78400000000002,High,0.9009163996078057,314.73,316.4,305.93,300.0482,258.55925,8.120842857142852,1607273353.3725,1.2791502172875642,0.612625130261786,0.04568409861120348,0.09494155301976082,0.06695369177571364,0.28592441266598567,0.9676773991872463,0.2565866832277787
RTX,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,185.68,250.66800000000003,148.544,High,0.9001521866768643,185.68,185.87,181.76,173.6318,151.583775,3.822028571428575,897444378.7895,0.6265189905756055,0.10222198310647104,0.019603536324199533,0.0942951438000943,0.13670033670033677,0.2848048712980902,0.6223678462210573,0.2652300730406323
STLD,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,175.76,237.276,140.608,High,0.8953717323047782,175.76,175.95,172.74,159.4535,137.208675,4.396978571428568,234827179.89124998,0.7064021489955346,0.6893434286360035,0.04033857172452571,0.11127971674253923,0.25875528181622864,0.3110547516037594,0.5053100376841382,0.3020674871661915
HII,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,353.52,477.252,282.816,High,0.888011448101009,353.52,357.44,338.07,309.7396,259.5222,10.64296428571429,147881491.4645,1.8968691623194815,1.0966875559534512,0.07400656215822088,0.15722282235097707,0.26814219607561784,0.4132320607635418,0.8181444147294794,0.3171652975949141
CMI,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,519.28,701.028,415.424,High,0.88753142944629,519.28,521.8,512.88,467.65659999999997,378.7278,13.541157142857148,503300996.92649996,0.8457185754852775,1.3713200379867099,0.003924601256645621,0.09898203212630419,0.2421777820304276,0.557341650671785,0.48073797370897364,0.3138973681527867
