ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60
LRCX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,173.13135,204.29499299999998,159.280842,High,0.9943397856895956,172.27,173.58,166.08,154.3758,108.5853,7.313657142857148,1904659284.352,3.2383799251301237,0.7546952413872579,0.07319960129578873,0.2341141915610001,0.3444938734098182
GM,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,82.76174999999999,97.65886499999999,76.14081,High,0.9937680635838149,82.35,82.685,81.09,70.4966,56.351400000000005,1.6594428571428586,832526226.4825,2.2054831323619406,0.8309248554913438,0.018049202620842975,0.21031746031746001,0.35913517082026725
MU,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,267.2496,315.35452799999996,245.869632,High,0.9931254191817572,265.92,268.38,251.745,227.36939999999998,141.41389999999998,15.214092857142845,6495818051.064,2.3000299977498595,0.9166107757656977,0.10276188106494155,0.3205542037046234,0.695593955238156
EXPE,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,290.69624999999996,343.0215749999999,267.44055,High,0.9918695711647629,289.25,292.42,286.01,245.6554,198.038625,8.050357142857147,571443890.5259999,1.4277584197537014,1.0840571780316037,0.05484847379745461,0.2320569067598075,0.34416097402295653
STX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,297.8418,351.45332399999995,274.014456,High,0.9694833781115463,296.36,305.43,293.6945,259.1727,167.33565,16.073921428571435,1210389062.7155,5.759992092472239,4.06888291846049,0.030315672368238067,0.23226611226611227,0.3480100068228338
WDC,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,181.9854,214.74277199999997,167.426568,High,0.9694469460189649,181.08,185.27,175.68,151.618,86.85555000000001,10.984157142857145,1405160839.9505,4.348314789538071,4.073740530804682,0.026879891119428345,0.2913071382728376,0.6890215464975284
TER,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,196.15589999999997,231.46396199999995,180.463428,High,0.9640731707317073,195.18,196.49,191.51,171.81719999999999,115.34140000000001,7.738057142857144,639735948.007,2.315811105354429,4.790243902439021,0.009360293737394665,0.25195638229634376,0.46895461729510046
LUV,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,41.4663,48.93023399999999,38.148996,High,0.9506993723782258,41.26,41.35,40.685,34.3812,32.29305,1.3629285714285717,441801519.704,1.514635365688956,5.236564079007811,0.0021860578090842075,0.32413350449293965,0.2922016911994989
WBD,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,27.908849999999997,32.93244299999999,25.676142,High,0.9442499999999999,27.77,28.5,27.58,23.2498,14.621224999999999,0.9514285714285707,1894829114.9810002,1.944104048956319,7.433333333333335,-0.07371581054036025,0.21372377622377625,0.40394337714863493
DAL,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,71.41529999999999,84.27005399999999,65.70207599999999,High,0.9255026858344975,71.06,71.25,70.02,62.07860000000001,54.02455,1.8529285714285741,585600071.1135,1.853930317997478,1.7694221730716078,0.0179057441627275,0.2696087189565839,0.2523792738808601
JBHT,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,198.6684,234.428712,182.774928,High,0.9254288057219654,197.68,198.77,194.02,172.6091,149.76825,4.953735714285718,258591597.39475003,1.5208302005537484,9.942825903737951,-0.005033219247030374,0.24389630002516993,0.4930513595166164
FCX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,49.39574999999999,58.28698499999999,45.444089999999996,High,0.9173757581243777,49.15,49.636,48.07,42.552,41.03485,1.419357142857144,709934896.0915,1.397601018252769,11.016565583416314,0.037357534824820515,0.24022205399949526,0.3907753254102997
