ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60
LRCX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,176.13629999999998,207.84083399999997,162.04539599999998,High,0.9970163673562172,175.26,175.96,171.49,155.2536,109.06654999999999,7.3000857142857205,1900350530.9919999,0.9759227481772681,0.39781768583770005,0.06670724284844787,0.22860147213459503,0.36569781033273574
MU,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,277.97294999999997,328.00808099999995,255.73511399999998,High,0.9908925318761383,276.59,279.99,268.29,229.2692,142.33205,15.501957142857131,6543691980.561,1.1550364905122505,1.2143290831815543,0.1645894736842104,0.33379948883637933,0.7586952374896672
LUV,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,42.4512,50.092416,39.055104,High,0.9756701245068156,42.24,42.34,41.28,34.6002,32.35825,1.347928571428572,445547689.64000005,0.642029142343266,2.985760220486902,0.012464046021092967,0.28780487804878074,0.29849369812480786
GM,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,83.44515,98.46527699999999,76.769538,High,0.9747515137256513,83.03,83.68,82.5812,71.05019999999999,56.529349999999994,1.6294428571428594,832224902.0435001,0.8537265412442605,0.7767686424474255,0.012808001951695402,0.18057727854400696,0.35581319399085554
TER,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,198.20609999999996,233.88319799999994,182.34961199999998,High,0.9715365853658536,197.22,202.0,196.91,173.12,115.78479999999999,7.37877142857143,636156198.892,0.823537852655641,3.795121951219513,0.012942989214175693,0.24107985652256003,0.45754194072869714
WBD,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,28.893749999999997,34.09462499999999,26.58225,High,0.96875,28.75,28.98,28.47,23.482799999999997,14.709625,0.9746428571428566,1916633518.2689998,0.6517167848498409,4.166666666666667,-0.032312352743184114,0.24082865774708662,0.4736032803690413
EXPE,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,290.73645,343.069011,267.477534,High,0.9583237922896672,289.29,291.58,286.185,247.2346,198.56342500000002,7.821428571428576,527871401.5625,0.5917551654332432,1.0703782231037533,0.020603281001940532,0.16889571295809946,0.29802126800376905
WDC,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,177.64379999999997,209.61968399999995,163.43229599999998,High,0.9522832017799437,176.76,187.18,171.849,152.8448,87.53085000000002,11.118514285714289,1404035779.3,1.0571359104033038,6.362239762674163,0.027435480120902023,0.26991881600689704,0.653817365269461
DAL,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,72.4203,85.45595399999999,66.626676,High,0.9453987400490028,72.06,72.115,71.17,62.370200000000004,54.11845,1.791785714285717,576105376.255,0.6054496384661644,0.38706110035941543,0.011084607829381365,0.23032269079733658,0.25979020979020984
FCX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,50.89319999999999,60.05397599999999,46.821743999999995,High,0.9376074952475785,50.64,50.95,49.91,42.74719999999999,41.10335,1.4682857142857155,711045582.187,0.9862648831891807,8.319000633656195,0.06565656565656552,0.27012791572611006,0.4165034965034966
JBHT,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,200.5779,236.681922,184.531668,High,0.9311035248102921,199.58,200.45,197.285,173.8589,149.94889999999998,4.593378571428573,250681287.30875,0.522571731817772,9.07724197626477,0.010020242914979827,0.1991828396322779,0.48430760077346413
STX,Buy,3-4 month,Medium-term trend with 3-6 month momentum and expanding volume.,284.26425,335.431815,261.52311000000003,High,0.9276822015360346,282.85,302.0,279.0001,260.5421,168.30989999999997,16.358914285714295,1222169896.114,1.008978027948837,8.442041886511502,-0.009559492961691896,0.1909975156848709,0.3003999816100411
