,ticker,price,trailing_eps,pe,future_price,upside,expected_5y_cagr,avg_roe,avg_retained,eps_cagr,percent_growth,equity,long_term_debt,debt_to_equity,avg_eps,sd_eps,earnings_vol,conservatively_financed,shares_trend,buyback_flag,quality_pass,score
0,IDXX,641.1400146484375,10.77,59.530177776085196,14854.617870559014,22.16906998653701,0.8749155900886252,0.763475232362149,1.0,0.121005729152172,0.763475232362149,1595313000.0,449786000.0,0.28194216432762725,8.924000000000001,1.4189658205890654,0.15900558276435064,Yes,Distributing More,0.0,True,0.8910358565737052
1,WSM,196.9499969482422,8.91,22.104376761867808,1516.4106441716747,6.6994702598049924,0.5041535365855843,0.5778586109614845,0.8302438120557459,0.055133405411398106,0.47976353599390115,2142419000.0,1113135000.0,0.5195692345894991,8.035,0.6114634085536107,0.07609998861899324,Maybe,Buy Back,1.0,True,0.8847609561752987
2,SPGI,544.22998046875,12.36,44.031551817860034,186274.2599323603,341.2712210229959,2.2127288766691797,1.273137045279205,0.7780835671947595,0.062184134488965315,0.9906070137186398,33159000000.0,11394000000.0,0.34361711752465396,10.626000000000001,1.6354155435240303,0.15390697755731508,Yes,Distributing More,0.0,True,0.873406374501992
3,ULTA,514.6199951171875,25.44,20.228773392971206,3671.1361440344895,6.133683453551996,0.48136734480602783,0.48261126838032986,1.0,0.689820709345798,0.48261126838032986,2488353000.0,1635120000.0,0.6571093409978407,19.4,8.625049565074974,0.4445901837667513,Maybe,Buy Back,1.0,True,0.8708167330677291
4,QCOM,161.8300018310547,9.09,17.803080509466962,1803.927781990593,10.14705407884649,0.6196904503646512,0.6406934112077038,0.7293991247954847,0.18692861820780782,0.4673212133971328,26274000000.0,13270000000.0,0.5050620385171652,7.93,2.349101956067467,0.2962297548634889,Maybe,Buy Back,1.0,True,0.8600597609561753
5,MSFT,509.8999938964844,13.7,37.218977656677694,2293.0404936376704,3.4970396569629774,0.350782244834281,0.36878357486375923,0.7977552208927211,0.1397015383516531,0.2941990222270456,343479000000.0,40152000000.0,0.11689797629549405,10.62,1.9457851885549955,0.18321894430838,Yes,Buy Back,1.0,True,0.8427290836653387
6,TER,112.23999786376953,3.41,32.91495538526966,529.5540403420289,3.718051055068365,0.36380578163558686,0.290543007909429,0.903546139097814,-0.07805907216882313,0.2625190130384302,2819294000.0,89244000.0,0.03165473341907584,4.35,1.140929445671379,0.2622826311888228,Yes,Buy Back,1.0,True,0.8382470119521913
7,EXPD,123.51000213623047,5.75,21.480000371518344,530.2680600781275,3.293320791082542,0.33831599320109995,0.3902241627973667,0.8243637011502314,0.0855926040543844,0.32168663512188767,2223012000.0,462201000.0,0.2079165564558356,6.327999999999999,1.7281481417980347,0.27309547120702193,Yes,Buy Back,1.0,True,0.831374501992032
8,LRCX,116.95999908447266,4.17,28.047961411144524,1135.4150320023218,8.707720937842046,0.5755183171178713,0.5846011742587873,0.9474439162593029,-0.2803829983841093,0.5538768259895327,9861619000.0,3719694000.0,0.37718897880763796,22.631999999999998,11.240098576080193,0.4966462785471984,Maybe,Distributing More,0.0,True,0.8308764940239045
9,ALGN,131.55999755859375,5.63,23.367672745753776,707.0762188740572,4.3745532988410245,0.3998080116385978,0.2189267604108524,1.0,-0.2931285158726532,0.2189267604108524,3851985000.0,88214000.0,0.022900919915316387,9.68,6.671620492803829,0.6892169930582468,Yes,Buy Back,1.0,True,0.8252988047808766
10,BBY,75.87000274658203,4.31,17.603248897118803,457.31756403081397,5.0276465991220265,0.4322853715569479,0.48977320913590744,0.6645842342909525,-0.1119528826080527,0.3254955531698096,2808000000.0,1144000000.0,0.4074074074074074,6.638,1.8652334974474374,0.28099329578900833,Maybe,Buy Back,1.0,True,0.8221115537848606
11,ADBE,349.3599853515625,12.43,28.10619351179103,1445.7635841299018,3.138320485315522,0.32850998891287464,0.35674358151447255,1.0,0.03243674198360624,0.35674358151447255,14105000000.0,4129000000.0,0.2927330733782347,11.094,0.9303891658870493,0.08386417576050563,Yes,Stagnant,0.0,True,0.8141434262948207
12,AMD,158.57000732421875,1.01,157.00000725170173,2346.7159294871713,13.799242108181149,0.7141463371709269,0.18325043698909682,1.0,-0.16722914065093053,0.18325043698909682,57568000000.0,1721000000.0,0.02989508060033352,1.42,0.7954369868191948,0.5601668921261935,Yes,Distributing More,0.0,True,0.8019920318725101
13,BIIB,144.86000061035156,11.21,12.922390777016195,634.1137301476224,3.377424599446738,0.34351875944643595,0.1840407440465094,1.0,-0.1805430893665383,0.1840407440465094,16716000000.0,4547200000.0,0.2720268006700168,15.098000000000003,6.5813566990401,0.43590917333687235,Yes,Buy Back,1.0,True,0.7997011952191236
14,CHRW,132.41000366210938,3.89,34.03856135272734,724.9753450928448,4.475230911879392,0.40501347024084944,0.4315004183197039,0.6528719402504246,0.009879368459307036,0.28171451532725494,1722051000.0,921857000.0,0.5353250281205376,4.843999999999999,1.7794898145255005,0.36735958185910417,Maybe,Buy Back,1.0,True,0.7983067729083665
15,V,339.42999267578125,9.74,34.849075223386166,1180.2351900993938,2.477109317286342,0.28305025981019427,0.4122116693320593,0.8329455592909317,0.18738270597744644,0.34334987945804074,38106000000.0,20836000000.0,0.5467905316748018,7.114,1.7546350047801964,0.24664534787464104,Maybe,Buy Back,1.0,True,0.7940239043824702
