ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
LMT,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",637.3910999999999,752.1214979999999,586.399812,High,0.9509540625002629,634.22,641.19,615.509,507.15880000000004,477.29044999999996,17.95690714285716,1266793022.4524999,0.9298457962051498,1.7733517121749396,0.07345722893605489,0.31126594578948463,0.2997909579046605,Industrials,,2.130630630630631,75048000000.0,0.11426603021504847,0.01755840367196941,6908000000.0,0.0920477561027609,0.047070973990278146,17579000000.0,2.121786311722031,1.9555099098177167,19.835377658854252,0.75277,True,,0.287161812823149,0.21160264002457807
FTI,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",55.998599999999996,66.07834799999999,51.518712,High,0.9423637022238319,55.72,56.36,54.84,47.874,38.443025,1.378571428571428,170967744.699,0.8012233297966569,2.1254171789917455,0.026907482491706602,0.25044883303411125,0.32351543942992866,Energy,,0.23076923076923075,9782900000.0,0.22808144146866619,0.026185508413182013,1541000000.0,0.1575197538562185,0.06728717633242114,462300000.0,0.2627749720961741,2.3410070453546497,13.28036051211933,1.0336599,True,,0.3108862943484172,0.19002571972573024
MTSI,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",220.15529999999998,259.78325399999994,202.542876,High,0.9326213592233009,219.06,231.75,216.6,186.5415,144.900025,11.205521428571434,313720578.57875,0.7030454833514858,5.475728155339805,-0.0009121590805435398,0.278958430639888,0.4585525001664559,Technology,,1.2565217391304346,967258000.0,0.5448596699467779,-0.0024114991844932376,153201000.0,0.1583869040111325,0.009323397595047675,425848000.0,2.205929034652534,16.98811000994564,87.32449928465091,0.96656,True,,0.4459233550849444,0.4531826652306593
AMTM,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",35.9589,42.431501999999995,33.082188,High,0.9315340010542964,35.78,37.4154,35.17,30.676400000000005,24.968175000000002,1.1138285714285705,64704606.4855,1.205615565387002,5.69319978914074,0.011305822498586693,0.23379310344827586,0.6117117117117119,Industrials,,2.1999999999999997,14393000000.0,0.1062420382165605,0.001525909723022037,516000000.0,0.035850760786493435,0.05917419379537092,3730000000.0,3.649706457925636,0.6058512754811367,12.182013119373776,1.04528,True,,0.5990825666302004,0.5235233938316295
AMAT,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",323.93159999999995,382.23928799999993,298.017072,High,0.9276726639582124,322.32,340.95,321.54,277.3548,208.03055,13.282500000000008,2451539630.41875,1.2484789900423914,6.4654672083575235,-0.00018611576400517915,0.2542122261566597,0.3559379075343905,Technology,,0.6413793103448275,28368000000.0,0.4801470588235294,-0.008691596060413143,5698000000.0,0.20086012408347434,0.022272401814084297,-191000000.0,-0.021350324472707526,9.018341432600113,28.597396984179166,0.85012,True,,0.343308762452879,0.3505680725985939
HII,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",422.61254999999994,498.6828089999999,388.803546,High,0.9224575306885038,420.51,429.305,417.23,355.45459999999997,284.14349999999996,14.278035714285709,253809643.828,0.7577591642414062,3.5846843384897356,0.004610827082039304,0.2365395359778868,0.3242741071990929,Industrials,,0.16825396825396835,12012000000.0,0.12343358395989974,-0.002943831329958277,555000000.0,0.0462037962037962,0.033633479490076834,2614000000.0,2.4613935969868175,1.3737441651681652,17.999449069679848,0.96294,True,,0.3116449621175814,0.23608578931901048
LRCX,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",234.6273,276.860214,215.857116,High,0.9170456018110745,233.46,251.87,232.0,184.2722,126.73494999999998,11.806600000000001,3096448208.4165,1.293707041868523,7.3093262397268415,0.07121226025511618,0.3638275499474237,0.4479037459687423,Technology,,0.2233009708737864,20560532000.0,0.4960272534510704,-0.002381542507595147,6215611000.0,0.30230788775309897,0.021196849783456935,-1696692000.0,-0.23104586490253318,14.26192527858715,39.93077070564178,0.88482004,True,,0.4352746008872308,0.4425339110329457
MU,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",416.95439999999996,492.00619199999994,383.598048,High,0.9154116355653129,414.88,455.5,407.13,295.2348,176.31005000000002,22.743549999999995,13908673577.0295,1.3608012800037723,8.917672886937432,0.038108344801701444,0.4536281139413474,0.7677034512143162,Technology,,2.2624113475177303,42312000000.0,0.5604339221578831,0.16317896176235913,4652000000.0,0.10994516921913405,0.009962495562349835,2694000000.0,0.12116578562319433,11.035906468519569,21.122842853945283,0.83465,True,,0.7550743061328047,0.7623336162785196
STX,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",409.72844999999995,483.4795709999999,376.95017399999995,High,0.9052319587628866,407.69,452.9202,397.3301,301.29900000000004,200.07960000000003,26.213428571428576,1800980251.5444999,1.856496647239763,10.953608247422677,0.17795434845420388,0.48040960092959084,0.5352664281679533,Technology,,0.6560509554140127,9558000000.0,0.39444655762647396,0.03608780748552293,1218000000.0,0.12743251726302574,0.013712470216424624,3882000000.0,1.3611500701262271,9.293184616028459,32.50570075736325,0.95462,True,,0.5226372830864419,0.5298965932321568
ADI,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",312.4344,368.67259199999995,287.439648,High,0.9039260480125778,310.88,317.32,309.27,280.3091,242.7966,8.738571428571431,1093918170.0555,1.206978044980013,2.624819896009521,0.01727748691099462,0.14631268436578182,0.3307649501305594,Technology,,1.0512820512820513,11019707000.0,0.6312558982639477,0.023899919644873258,4278650000.0,0.38827257385337016,0.028107650814731003,6165204000.0,1.2344305040857004,13.813768230316832,31.71347907086388,0.94053,True,,0.3181358050490479,0.32539511519476283
