symbol,close,sma50,sma200,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,atr14,atr_%,score,entry,stop,risk_%,qty,notional,risk_$
TER,173.94,130.38,103.65,521709491.0,3.44,1.86,0.2528,0.2326,0.6267,8.001,4.6,0.867,177.42,161.94,8.72,32,5677.0,495.0
CAT,585.49,472.14,388.32,1695641197.0,2.14,1.8,0.1393,0.2177,0.3483,17.46,2.98,0.856,596.81,558.0,6.5,12,7162.0,466.0
GOOGL,274.57,240.59,191.84,7378626861.0,1.49,0.28,0.0909,0.1212,0.4104,7.177,2.61,0.832,275.61,263.8,4.28,42,11576.0,496.0
GOOG,275.17,241.2,193.13,4734686348.0,1.41,0.29,0.0897,0.1207,0.4088,7.114,2.59,0.831,276.25,264.5,4.25,42,11602.0,493.0
UHS,225.3,196.61,183.57,129605454.0,1.65,0.84,0.0708,0.1071,0.3679,6.047,2.68,0.797,227.45,216.23,4.93,44,10008.0,494.0
EBAY,99.54,92.77,77.78,512333035.0,1.67,1.59,0.0437,0.1366,0.0905,2.912,2.93,0.793,101.22,95.17,5.98,82,8300.0,496.0
AEP,122.11,112.7,106.69,415616563.0,2.7,0.56,0.0413,0.083,0.0783,2.171,1.78,0.788,122.92,118.85,3.31,101,12415.0,410.0
PLTR,198.81,173.13,131.18,8590986420.0,1.39,0.52,0.1329,0.0749,0.1474,8.076,4.06,0.782,200.05,186.7,6.68,37,7402.0,494.0
