symbol,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
A,132.14,137.845,131.56,142.13060000000002,128.0876,3.773207142857138,273568835.096,1.2621060381802838,17.5516316216385,-0.02802500919455686,-0.07549149933533916,-0.0996797710703824,Healthcare,,0.3783783783783783,6948000000.0,0.5319720580333154,0.010332900697385572,1152000000.0,0.16580310880829016,0.030751369953030495,1565000000.0,0.8001022494887525,5.391730809441566,19.952323959100205,0.92664003,True,,-0.11731606493974078,-0.15106123186083878
AA,61.35,61.37,59.345,52.885799999999996,36.6452,3.3359642857142866,576756049.1615,0.899123295490448,8.364451082897686,0.02832718739523976,-0.001464843749999889,0.7165640738668158,Basic Materials,,-0.5893719806763285,12868000000.0,0.1001669449081803,-0.10619063906908292,519000000.0,0.040332608019894314,0.03266730850454471,1093000000.0,0.58480472842563,1.2346474156046006,9.08530953743168,0.82251,True,,0.6989277799974574,0.46479099128760637
AAL,14.01,14.345,13.81,14.8294,12.6281,0.5557714285714284,892220029.799,0.8016436704257388,19.48275862068965,0.03394833948339482,-0.11497157296272897,0.04396423248882275,Industrials,,1.2083333333333335,54294000000.0,0.17347162369439778,-0.03326815028546623,882000000.0,0.0162448889380042,0.0953429194503167,35229000000.0,9.15514553014553,0.170383800198917,11.559204274428275,0.68411005,True,,0.026327938619464364,-0.0769289043378608
AAPL,269.48,271.875,267.61,268.365,237.36745,6.396778571428571,14119114849.7585,1.1763298510583335,6.63155706465248,0.043404189414179006,0.008306517997455742,-0.0024431776116087267,Technology,,0.7212121212121212,435617000000.0,0.4815868555051615,0.012523771169100417,123324000000.0,0.28310189914535017,0.031136156637502892,45192000000.0,0.29556187775230736,9.092384215602237,26.199718334019654,0.64992994,True,,-0.020079471480967115,-0.0008697187399495947
ABBV,225.66,228.7,223.641,224.7342,208.93145,5.357814285714288,1625370897.8815,1.1103278068705582,7.822392876108004,0.007725628544634544,0.024888727404850597,0.041011210038289336,Healthcare,,6.0,59644000000.0,0.6637931034482759,-0.04527130865450801,19684000000.0,0.33002481389578164,0.04935460757879317,63114000000.0,2.1380805907334293,6.6868085896318155,15.648972476396208,0.7521,True,,0.023374916168930948,-0.010370250752167048
ABNB,122.075,131.06,120.1,129.7609,128.373575,4.399285714285718,552274151.6382501,1.6460917154440018,25.532239370463003,-0.07672818030555129,-0.10153087510119974,-0.0034693877551019714,Consumer Cyclical,,2.0273972602739727,11943000000.0,0.865934065934066,0.056133826359305306,4586000000.0,0.38399062212174495,0.061360476491038624,-5250000000.0,-1.9014850132904892,6.257947201205727,27.069418745542485,0.85220003,True,,-0.02110568162446036,-0.06341303932596415
ABT,109.02,109.115,106.25,122.17460000000001,128.9557,3.4507142857142847,1434848734.7265,1.156703667406121,22.806769100049564,0.006927126627874758,-0.13784104389086604,-0.12461859643488049,Healthcare,,0.32894736842105265,43843000000.0,0.5536106957516053,-0.007274817070169082,6917000000.0,0.15776748853864928,0.036454219120457924,5430000000.0,0.47247521385630814,4.327825210501106,16.982555175136884,0.8167,True,,-0.14225489030423888,-0.17600005722533688
ACGL,96.82,97.8499,96.0,94.00479999999999,91.38470000000001,1.6090928571428569,213160283.93949994,0.5684372474524477,1.0525304573637908,0.035951209073400436,0.025201185938161785,0.10588235294117654,Financial Services,,0.4710743801652893,19040000000.0,,,6295000000.0,0.33061974789915966,0.17420693295290093,1665000000.0,0.33220273045568616,1.8978564302521008,7.541937023690319,0.93525004,True,,0.08824605907181815,0.058487035679690845
ACHC,13.68,13.805,12.9916,14.343800000000002,20.409950000000002,1.0468714285714287,52010098.861,0.7474739691264402,69.9142291620849,0.014836795252225476,-0.04201680672268904,-0.33849129593810445,Healthcare,,0.142857142857143,3265548000.0,0.9642872660359124,-0.00021409123850801848,-347219000.0,-0.10632794250765874,-0.28063145164852776,2308487000.0,3.6828605554986615,0.3788881890573956,5.656759802663802,1.25886,True,,-0.35612758980746284,-0.3898727567285608
ACI,17.45,17.55,16.7762,17.298199999999998,19.304975,0.4620500000000001,168078312.54500002,0.8032924730654282,24.78448275862069,0.04741896758703468,0.011008111239860785,-0.0017162471395881784,Consumer Defensive,,0.8965517241379313,81719800000.0,0.2744657153165967,0.0029062687158386002,510800000.0,0.006250627142993497,0.05328928757692486,15236600000.0,4.222068277543782,0.11729612886962523,6.878191141653735,0.73627,True,,-0.019352541008946567,-0.08810322231056984
ACM,95.51,98.2508,93.84,99.14659999999999,113.65844999999999,2.5761285714285713,130623635.8875,0.9782830695999303,29.52331759149941,-0.013733994217265622,-0.03447230084917097,-0.27758868466833064,Industrials,,-0.27999999999999997,16139622000.0,0.07917724145875729,0.00510947847165108,684927000.0,0.042437610992376404,0.054396404853910826,1643765000.0,1.3322988525989545,0.7801547015165535,11.537839435282855,0.93698,True,,-0.29522497853768903,-0.3984818214950142
ACN,241.21,251.55,238.14,269.031,271.7543,10.794621428571427,1303564298.5955,1.9143162985740636,39.447721852642154,-0.12541696881798403,-0.0862565345859535,-0.026672584940682698,Technology,,0.2553191489361703,70725557000.0,0.3306518337701835,0.015260562572201819,11511594000.0,0.1627642748716705,0.07695753863573694,-1447406000.0,-0.11618275531180025,2.114988053894012,12.007030068816226,0.82572,True,,-0.044308878810041086,-0.025099126069023564
ADBE,271.93,284.34,271.02,326.4528,355.642375,8.686428571428568,1547171009.152,1.6245530169340876,41.60831900543676,-0.08570371864703119,-0.17984678489564476,-0.1895508598336959,Technology,,0.07487922705314022,23769000000.0,0.8952211817888279,0.0034553810102442295,9852000000.0,0.41448946106272877,0.086550197527918,1217000000.0,0.13168144875939447,4.789006529176659,12.44826784374217,0.87444,True,,-0.2071871537030543,-0.18797740096203677
ADC,72.2,72.38,70.83,72.4874,73.2683,1.2752928571428594,100946279.137,0.9871274351274789,9.353421217828,-0.007969222313822466,0.005291005291005346,-0.0034506556245686992,Real Estate,,0.09756097560975618,688643000.0,0.8800799030684088,0.0038698022908890684,484218000.0,0.703148075272674,0.058175779411319635,3405384000.0,5.727840020875043,12.086612029745456,19.727694050591406,1.15274,True,,-0.021086949493927087,-0.005341542467154922
ADI,311.29,321.23,308.955,283.6255,244.16,9.208214285714288,1148931441.476,1.465121342347753,3.0943560688603173,0.024553204094394987,0.12261531248873014,0.3190254237288137,Technology,,1.0512820512820513,11019707000.0,0.6312558982639477,0.023899919644873258,4278650000.0,0.38827257385337016,0.028070631162195325,6165204000.0,1.2344305040857004,13.831985879116386,31.753674953209405,0.94085,True,,0.3013891298594553,0.3205988826004728
ADM,67.39,68.24,62.4,61.421400000000006,57.320225,2.100607142857144,270553046.0845,1.7912645759752894,3.3835125448028665,-0.012311300014656412,0.13108425646189992,0.1971931071238231,Consumer Defensive,,-0.811965811965812,83211000000.0,0.0623404673080699,0.00021268632980593616,4703000000.0,0.05651896984773648,0.14521889255029855,7972000000.0,3.060268789196623,0.38919846347237746,15.492358670061787,0.8638,True,,0.1795568132544647,0.11080613195284143
ADP,235.08,244.29,234.81,257.4598,287.1561,5.38492857142857,626807741.5962499,1.7745728826364076,28.748414433992718,-0.07634277631527242,-0.08642934867091556,-0.09434834534037051,Technology,,-0.1437908496732026,21214300000.0,0.4608064486033624,0.0009598134591065621,4184800000.0,0.19726316682615028,0.04401447606180088,1899300000.0,0.3069079760557575,4.481779279825401,15.670535780472997,0.87038004,True,,-0.1119846392097289,-0.09277488646871138
