ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%,news_score,has_fresh_news,upgrade_hits,downgrade_hits,earnings_within_window,next_earnings_date,last_earnings_surprise_pct,catalyst_reasons,intraday_rel_vol
MKSI,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",193.58,184.8,2,387.0,18.0,4.54,0.98271,193.28,1.46,0.06,0.2408,158.87,114.86,130845484.0,0.0533,0.4031,5.656,2.93,0.7342,True,2,0,False,2026-02-11 21:00:00+00:00,11.71,"['Positive earnings surprise', 'Recent upgrade']",1.46
MTSI,Buy,1-2 day,Momentum + liquidity with catalysts: Positive earnings surprise,214.07,198.71,1,214.0,15.0,7.18,0.9400000000000001,213.52,2.66,0.16,0.2039,172.06,137.44,235394138.0,0.2431,0.5479,7.669,3.59,0.6,True,0,0,False,2026-02-05 13:00:00+00:00,115.72,['Positive earnings surprise'],2.66
INTC,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",48.29,43.98,5,241.0,22.0,8.92,0.9119,47.29,2.01,1.97,0.2507,38.49,28.18,3388159263.0,0.1811,0.2837,2.205,4.66,0.6779999999999999,True,1,0,False,2026-01-22 21:00:00+00:00,21.4,"['Positive earnings surprise', 'Recent upgrade']",2.01
