ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%,news_score,has_fresh_news,upgrade_hits,downgrade_hits,earnings_within_window,next_earnings_date,last_earnings_surprise_pct,catalyst_reasons,intraday_rel_vol
XP,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",20.26,19.18,23,466.0,25.0,5.32,0.8965,20.19,1.34,2.18,0.2326,17.77,17.71,90685186.0,0.1597,0.1452,0.672,3.33,0.85,True,1,0,False,2026-02-17 21:00:00+00:00,31.56,"['Positive earnings surprise', 'Recent upgrade']",1.34
AU,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",107.05,99.51,3,321.0,23.0,7.04,0.8925,106.26,1.53,1.25,0.1859,87.79,62.56,222543456.0,0.0782,0.635,4.498,4.23,0.85,True,1,0,False,2026-02-20 21:00:00+00:00,38.61,"['Positive earnings surprise', 'Recent upgrade']",1.53
SLB,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",51.72,46.6,4,207.0,20.0,9.9,0.8334600000000001,49.15,2.21,4.88,0.2866,39.91,35.95,891878966.0,0.0554,0.3592,1.699,3.46,0.8092,True,3,0,False,2026-05-01 13:00:00+00:00,2.96,"['Positive earnings surprise', 'Recent upgrade']",2.21
