symbol,close,sma50,sma200,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,atr14,atr_%,score,entry,stop,risk_%,qty,notional,risk_$
LUV,37.95,32.86,31.82,262115918.0,1.63,1.09,0.0915,0.1695,0.1987,1.228,3.24,0.842,38.41,36.11,5.99,217,8335.0,499.0
AVGO,401.1,356.87,276.14,8579324251.0,1.31,1.52,0.0389,0.1479,0.1146,17.343,4.32,0.806,407.69,375.09,8.0,15,6115.0,489.0
WBD,27.23,21.44,13.82,1277194971.0,3.2,3.32,0.1408,0.2011,0.443,1.012,3.72,0.781,28.19,25.71,8.8,201,5667.0,499.0
STT,124.07,116.56,104.24,181366557.0,1.41,0.11,0.0504,0.0487,0.1034,2.269,1.83,0.776,124.24,120.67,2.88,100,12424.0,357.0
CFG,55.76,52.12,46.1,225373938.0,1.49,1.2,0.0216,0.0785,0.076,1.147,2.06,0.758,56.5,54.04,4.35,203,11469.0,499.0
FOXA,69.21,63.01,57.1,218105928.0,1.37,0.6,0.0425,0.0491,0.1882,1.339,1.93,0.756,69.7,67.2,3.58,179,12476.0,447.0
VTR,81.0,74.11,68.43,238044578.0,1.33,1.04,0.0076,0.0648,0.1616,1.091,1.35,0.753,81.93,79.36,3.14,152,12454.0,390.0
K,83.44,83.08,81.46,224303477.0,1.4,0.25,0.0045,0.0012,0.0505,0.179,0.21,0.729,83.55,83.17,0.46,149,12449.0,57.0
