ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%,news_score,has_fresh_news,upgrade_hits,downgrade_hits,earnings_within_window,next_earnings_date,last_earnings_surprise_pct,catalyst_reasons,intraday_rel_vol
LFUS,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",329.54,305.04,1,330.0,24.0,7.43,0.9205,323.76,2.32,2.62,0.2801,268.71,243.48,71575494.0,0.1151,0.2987,12.478,3.85,0.85,True,1,0,False,2026-04-28 13:00:00+00:00,40.87,"['Positive earnings surprise', 'Recent upgrade']",2.32
CVX,Buy,1-2 day,Momentum + liquidity with catalysts: Positive earnings surprise,177.48,171.27,3,532.0,19.0,3.5,0.899,176.9,1.73,0.23,0.1607,156.14,151.17,2185335452.0,0.0611,0.1484,3.076,1.74,0.6,True,0,0,False,2026-05-01 13:00:00+00:00,93.81,['Positive earnings surprise'],1.73
XOM,Buy,1-2 day,Momentum + liquidity with catalysts: Positive earnings surprise,142.35,137.22,4,569.0,20.0,3.6,0.894,141.4,1.47,0.66,0.175,122.54,113.47,2634262636.0,0.0476,0.243,2.784,1.97,0.6,True,0,0,False,2026-05-01 13:00:00+00:00,988.3,['Positive earnings surprise'],1.47
