symbol,close,sma50,sma200,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,atr14,atr_%,score,entry,stop,risk_%,qty,notional,risk_$
WBD,19.46,12.55,10.68,1114346914.0,1.4,0.69,0.5744,0.6422,0.8411,0.984,5.05,0.972,19.61,17.98,8.31,306,6002.0,499.0
WDC,102.39,76.71,55.44,692797688.0,1.59,1.34,0.0975,0.3641,0.7299,2.971,2.9,0.946,103.88,97.93,5.73,84,8726.0,500.0
STX,211.12,160.62,114.69,610619925.0,2.19,1.44,0.1157,0.3671,0.6079,6.332,3.0,0.942,214.41,199.65,6.89,33,7076.0,487.0
GOOGL,251.61,202.67,181.47,8493967072.0,1.54,0.32,0.0748,0.234,0.4517,6.415,2.55,0.93,252.66,241.99,4.22,46,11622.0,491.0
NEM,79.36,67.54,52.5,684317832.0,1.32,0.89,0.0475,0.1447,0.3622,1.851,2.33,0.829,79.69,76.58,3.9,156,12432.0,485.0
EXPE,228.24,198.03,180.28,304220875.0,1.93,0.33,0.0506,0.1003,0.4049,4.764,2.09,0.812,229.23,221.09,3.55,54,12378.0,439.0
LYV,172.38,157.11,142.06,313139469.0,2.23,1.64,0.0177,0.0711,0.1627,3.1,1.8,0.734,175.43,167.73,4.39,64,11227.0,493.0
ORLY,106.3,100.16,91.06,434001867.0,1.68,1.96,-0.0008,0.0468,0.2035,1.662,1.56,0.7,108.01,103.8,3.89,115,12421.0,484.0
