ticker,action,horizon,thesis,entry,stop,qty,notional,risk_$,risk_%,score,close,vol_ratio20,prox_52w_high_pct,r20,sma50,sma200,adv20_dollar,r5,r60,atr14,atr_%,news_score,has_fresh_news,upgrade_hits,downgrade_hits,earnings_within_window,next_earnings_date,last_earnings_surprise_pct,catalyst_reasons,intraday_rel_vol
MKSI,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",221.29,207.36,1,221.0,14.0,6.29,1.08071,220.73,2.16,0.15,0.3834,165.06,118.08,172605528.0,0.142,0.5694,8.912,4.04,1.7342,True,6,0,False,2026-02-11 21:00:00+00:00,11.71,"['Positive earnings surprise', 'Recent upgrade']",2.16
INTC,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",54.46,49.71,5,272.0,24.0,8.73,1.0219,54.25,2.15,0.29,0.4734,39.59,28.86,4597060714.0,0.1472,0.4216,3.029,5.58,0.6779999999999999,True,1,0,False,,21.4,"['Positive earnings surprise', 'Recent upgrade']",2.15
BG,Buy,1-2 day,"Momentum + liquidity with catalysts: Positive earnings surprise, Recent upgrade",112.7,107.35,4,451.0,21.0,4.75,0.9585,112.07,1.42,0.46,0.2252,95.38,84.97,161850003.0,0.0924,0.1591,3.15,2.81,0.85,True,1,0,False,2026-02-04 13:00:00+00:00,342.0,"['Positive earnings surprise', 'Recent upgrade']",1.42
